#Source	"The Drug Repurposing Hub, Broad Institute"				
#URL	http://www.broadinstitute.org/repurposing				
#File_date	9/7/2018				
#Table_name	drug information				
#API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.				
#Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER'S SOLE RISK.				
#Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.				
#Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 2017 Apr 7;23(4):405-408. doi: 10.1038/nm.4306."				
#Contact	repurposing@broadinstitute.org				
pert_iname	clinical_phase	moa	target	disease_area	indication
imeglimin	Phase 2	gluconeogenesis inhibitor			
imetit	Preclinical	histamine receptor agonist	HRH3|HRH4		
imexon	Phase 2	apoptosis stimulant|ribonucleotide reductase inhibitor	RRM1|RRM2		
imidacloprid	Launched	acetylcholine receptor antagonist	CHRFAM7A		
imidafenacin	Launched	acetylcholine receptor antagonist	CHRM1|CHRM3	neurology/psychiatry	spasms|spasms
imidapril	Launched	angiotensin converting enzyme inhibitor	ACE	cardiology	hypertension|congestive heart failure
imidurea	Preclinical	other antibiotic			
imiloxan	Phase 1	adrenergic receptor antagonist	ADRA2A|ADRA2B		
imipenem	Launched	bacterial cell wall synthesis inhibitor		infectious disease	pneumonia|urinary tract infections|intra-abdominal infections|gynecologic infections|bacterial septicemia|bone and joint infections|skin infections|endocarditis
imipramine	Launched	norepinephrine reputake inhibitor|serotonin reuptake inhibitor	ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD5|HRH1|HTR1A|HTR2A|HTR2C|HTR6|HTR7|KCND2|KCND3|KCNH1|KCNH2|SLC6A2|SLC6A3|SLC6A4	neurology/psychiatry|urology	depression|nocturnal enuresis
imiquimod	Launched	interferon inducer|toll-like receptor agonist	TLR7|TLR8	dermatology|infectious disease|oncology	actinic keratosis (AK)|genital warts|basal cell carcinoma (BCC)
immepip	Preclinical	histamine receptor agonist	HRH3|HRH4		
immethridine	Phase 1	histamine receptor agonist	HRH3		
impentamine	Preclinical	histamine receptor antagonist	HRH3		
IMREG-1	Phase 3				
INC-280	Phase 2	c-Met inhibitor	MET		
INCA-6	Preclinical	calcineurin inhibitor	NFATC1		
INCB-003284	Phase 2	CC chemokine receptor antagonist			
INCB-024360	Phase 2	"indoleamine 2,3-dioxygenase inhibitor"	IDO1		
INCB-3284	Phase 2	CC chemokine receptor antagonist	CCR2		
indacaterol	Launched	adrenergic receptor agonist	ADRB1|ADRB2	pulmonary	chronic obstructive pulmonary disease (COPD)
indalpine	Withdrawn	selective serotonin reuptake inhibitor (SSRI)	SLC6A4		
indapamide	Launched	thiazide diuretic	KCNE1|KCNQ1|SLC12A3	cardiology	hypertension|congestive heart failure
indatraline	Preclinical	norepinephrine transporter inhibitor	MAOA|MAOB		
indeloxazine	Withdrawn	norepinephrine reuptake inhibitor|serotonin reuptake inhibitor			
indibulin	Phase 1/Phase 2	tubulin polymerization inhibitor			
indinavir	Launched	HIV protease inhibitor	CYP3A4|CYP3A5|CYP3A7	infectious disease	human immunodeficiency virus (HIV-1)
indiplon	Phase 3	benzodiazepine receptor agonist	GABRA1		
indirubin	Phase 2/Phase 3	CDK inhibitor|glycogen synthase kinase inhibitor	CDK1|CDK5|GSK3A		
indirubin-3-monoxime	Preclinical	CDK inhibitor|glycogen synthase kinase inhibitor	CDK1|CDK2|CDK5|CDK5R1|GSK3B		
indisulam	Phase 2	CDK inhibitor	CA1|CA12|CA14|CA2|CA6|CA7|CA9		
indium(iii)-isopropoxide	Preclinical				
indium-tri(2-propanolate)	Preclinical				
indobufen	Launched	cyclooxygenase inhibitor|platelet aggregation inhibitor	PTGS1|PTGS2	hematology	thrombosis
indocyanine-green	Launched	contrast agent	SLCO1B1		
indole-3-carbinol	Phase 2/Phase 3	"aryl hydrocarbon receptor agonist|indoleamine 2,3-dioxygenase inhibitor"	AHR		
indole-3-pyrubate	Phase 2	melatonin receptor agonist			
indomethacin	Launched	cyclooxygenase inhibitor	GLO1|PLA2G2A|PPARA|PPARG|PTGDR2|PTGR2|PTGS1|PTGS2|SLC46A1	rheumatology|orthopedics	rheumatoid arthritis|ankylosing spondylitis|osteoarthritis|bursitis|tendinitis
indoprofen	Withdrawn	cyclooxygenase inhibitor|prostanoid receptor antagonist	CXCR1|CXCR2|PTGS1|PTGS2		
indoramin	Launched	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRA2B|ADRA2C	urology|cardiology	benign prostatic hyperplasia (BPH)|hypertension
indoximod	Phase 2	"indoleamine 2,3-dioxygenase inhibitor"	IDO1		
ingenol-mebutate	Launched	PKC activator	PRKCA|PRKCB|PRKCD|PRKCE|PRKCG	dermatology	actinic keratosis (AK)
INH1	Preclinical	Hec1 inhibitor	NDC80		
inimur	Launched	other antifungal			
iniparib	Phase 3	PARP inhibitor	PARP1		
inosine	Launched	neurotrophic agent	PARP1|PNP		
inositol	Launched	insulin sensitizer	CDIPT|GBA		
inositol-hexanicotinate	Launched			dermatology|cardiology|rheumatology|neurology/psychiatry	statis dermatitis|claudication|Raynaud's disease|hypertension|insomnia|atherosclerosis|restless leg syndrome|schizophrenia|psoriasis|acne vulgaris (AV)
INS316	Phase 2	purinergic receptor antagonist			
INT-747	Phase 3	FXR agonist			
INT-767	Phase 1	FXR agonist	GPBAR1		
integrin-antagonist-1	Phase 1	integrin antagonist	ITGAV|ITGB6		
iobenguane	Launched	antineoplastic agent		oncology|cardiology|endocrinology	neuroblastoma|congestive heart failure|pheochromocytoma
iocetamic-acid	Launched	radiopaque medium		radiology	contrast agent
iodipamide	Launched	radiopaque medium	ALB	radiology	contrast agent
iodixanol	Launched	radiopaque medium		radiology	contrast agent
iodoantipyrine	Preclinical				
iododexetimide	Phase 2	acetylcholine receptor antagonist			
iodophenpropit	Preclinical	histamine receptor antagonist	HRH3|HRH4		
iodoquinol	Launched	antiseptic		infectious disease	amebiasis
iohexol	Launched	radiopaque medium		radiology	contrast agent
iopamidol	Launched	radiopaque medium		radiology	contrast agent
iopanic-acid	Preclinical	thyroid hormone inhibitor			
iopodic-acid	Launched			radiology	contrast agent
iopromide	Launched	radiopaque medium		radiology	contrast agent
iothalamic-acid-d3	Preclinical	radiopaque medium			
ioversol	Launched	radiopaque medium		radiology	contrast agent
IOWH032	Phase 2	CFTR channel antagonist	CFTR		
ioxaglic-acid	Launched	radiopaque medium		radiology	contrast agent
ioxilan	Launched	radiopaque medium		radiology	angiography
IOX1	Preclinical	histone demethylase inhibitor	EGLN1|KDM3A|KDM4C|KDM6B		
IOX2	Preclinical	hypoxia inducible factor inhibitor	EGLN1|KDM2A|KDM5C		
IPA-3	Preclinical	p21 activated kinase inhibitor	PAK1		
IPAG	Preclinical				
IPI-145	Phase 3	PI3K inhibitor	PIK3CA|PIK3CB|PIK3CD|PIK3CG		
ipidacrine	Phase 3	acetylcholinesterase inhibitor	ACHE		
ipragliflozin-l-proline	Launched	sodium/glucose cotransporter inhibitor	SLC5A2	endocrinology	diabetes mellitus
ipratropium	Launched	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5	pulmonary	bronchospasm|chronic obstructive pulmonary disease (COPD)|bronchitis|emphysema
ipriflavone	Launched	bone resorption inhibitor		orthopedics	osteoporosis
iproniazid	Withdrawn	monoamine oxidase inhibitor	MAOA|MAOB		
ipsapirone	Phase 3	serotonin receptor agonist	HTR1A		
irbesartan	Launched	angiotensin receptor antagonist	AGTR1|JUN|SLC10A1	cardiology|nephrology	hypertension|diabetic nephropathy
irinotecan	Launched	topoisomerase inhibitor	TOP1|TOP1MT	oncology	colorectal cancer
IRL-2500	Preclinical	endothelin receptor antagonist	EDNRB		
irosustat	Phase 2	steroid sulfatase inhibitor	CA2|STS		
irsogladine	Launched	phosphodiesterase inhibitor	PDE4A	gastroenterology	peptic ulcer disease (PUD)
isamoltane	Phase 1	adrenergic receptor antagonist	HTR1A|HTR1B		
isavuconazole	Phase 3	cytochrome P450 inhibitor	CYP3A4		
isaxonine	Withdrawn	nerve growth factor agonist			
isbufylline	Phase 2	phosphodiesterase inhibitor			
isepamicin	Launched	protein synthesis inhibitor		infectious disease	pneumonia|peritonitis
ISO-1	Preclinical	macrophage migration inhibiting factor inhibitor	MIF		
isobutamben	Preclinical	local anesthetic			
isobutyramide	Phase 2	gene expression stimulant	HBE1|HBG1		
isocarboxazid	Launched	monoamine oxidase inhibitor	MAOA|MAOB	neurology/psychiatry	depression
isoconazole	Launched	fungal lanosterol demethylase inhibitor	CYP17A1	infectious disease	gram-positive bacterial infections
isodibut	Phase 2	aldehyde reductase inhibitor			
isoetharine	Launched	adrenergic receptor agonist	ADRB1|ADRB2	pulmonary	bronchospasm|asthma
isofloxythepin	Phase 2	dopamine receptor antagonist			
isoflupredone-acetate	Preclinical		NR3C1		
isoflurane	Launched	inhaled anaesthetic	ATP2C1|ATP5D|CALM1|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GLRA1|GLRB|GRIA1|KCNA1|KCNK10|KCNK18|KCNK2|KCNK3|KCNK9	neurology/psychiatry	general anaesthetic
isoflurophate	Launched	cholinesterase inhibitor	ACHE|BCHE	ophthalmology	glaucoma
isoguvacine	Preclinical	benzodiazepine receptor agonist	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRR1|GABRR2|GABRR3		
isoleucine	Launched		ACADSB|BCAT1|BCAT2|IARS|IARS2		
isoliquiritigenin	Preclinical	guanylate cyclase activator	GABBR1		
isometheptene-mucate	Launched		ADRA1A|SLC18A2	neurology/psychiatry	headache
isoniazid	Launched	FABI inhibitor	CYP1A2|CYP2C19|CYP2C8|CYP2E1|CYP3A4	infectious disease	tuberculosis
isopentyl-4-methoxycinnamate	Launched			dermatology	sunscreen lotion
isoprenaline	Launched	adrenergic receptor agonist	ADRB1|ADRB2|ADRB3|MAPK1|PIK3R1|PIK3R2|PIK3R3	cardiology|pulmonary	bradycardia|heart block|asthma
isopropamide-iodide	Launched	acetylcholine receptor antagonist	CHRM3|CHRM4	gastroenterology	peptic ulcer disease (PUD)|gastrointestinal acidosis
isopropyl-myristate	Launched			dermatology	cosmetic
isopropyl-palmitate	Launched	cosmetic moisturizer		dermatology	cosmetic
"isoquinoline,-6,7-dimethoxy-1-methyl-1,2,3,4-tetrahydro,"	Preclinical				
isosorbide	Launched	nitric oxide stimulant		cardiology	angina pectoris|coronary artery disease (CAD)
isosorbide-dinitrate	Launched	nitric oxide stimulant	GUCY1A2|GUCY1A3|GUCY1B2|GUCY1B3|NPR1	cardiology	angina pectoris|coronary artery disease (CAD)
isosorbide-mononitrate	Launched	nitric oxide stimulant	GUCY1A2|GUCY1A3|GUCY1B2|GUCY1B3	cardiology	angina pectoris|coronary artery disease (CAD)
isosteviol	Phase 2				
isotiquimide	Phase 1				
isotretinoin	Launched	retinoid receptor agonist	RARA|RARB|RARG	dermatology	acne vulgaris (AV)
isovaleramide	Phase 2	alcohol dehydrogenase inhibitor			
isoxepac	Phase 2	anti-inflammatory agent			
isoxicam	Withdrawn	cyclooxygenase inhibitor	PTGS1|PTGS2		
isoxsuprine	Launched	adrenergic receptor agonist	ADRB2	rheumatology|cardiology	Raynaud's disease|arteriosclerosis|Buerger's disease
ispinesib	Phase 2	kinesin inhibitor	KIF11		
isradipine	Launched	calcium channel blocker	CACNA1C|CACNA1D|CACNA1F|CACNA1H|CACNA1S|CACNA2D1|CACNA2D2|CACNB2	cardiology	hypertension
ISRIB	Preclinical	eukaryotic translation initiation factor inhibitor|PERK inhibitor	EIF2A|EIF2AK3		
istaroxime	Phase 2	ATPase inhibitor	ATP1A1		
istradefylline	Launched	adenosine receptor antagonist	ADORA1|ADORA2A|ADORA2B|ADORA3	neurology/psychiatry	Parkinson's Disease|dyskinesia
ISX-9	Preclinical	neural stem cell inducer	NEUROD1		
itacitinib	Phase 2	JAK inhibitor	JAK1		
ITD-1	Preclinical	TGF beta receptor inhibitor	TGFBR2		
ITE	Preclinical	aryl hydrocarbon receptor agonist	AHR		
ITI214	Phase 1	phosphodiesterase inhibitor	PDE1A		
itopride	Launched	dopamine receptor antagonist	CHRM3|DRD2	gastroenterology|neurology/psychiatry	dyspepsia|gastroparesis|heartburn|nausea|vomiting|anorexia
itraconazole	Launched	cytochrome P450 inhibitor	CYP51A1	infectious disease	onychomycosis|histoplasmosis|blastomycosis|aspergillosis
ITX3	Preclinical	GEF inhibitor	TRIO		
IT1t	Preclinical	CC chemokine receptor antagonist	CXCR4		
IU1	Preclinical	ubiquitin C-terminal hydrolase inhibitor	USP14		
ivabradine	Launched	HCN channel antagonist|potassium channel blocker|sodium channel blocker	HCN1|HCN3|HCN4	cardiology	angina pectoris
ivacaftor	Launched	CFTR channel potentiator	CFTR	pulmonary	cystic fibrosis
ivermectin	Launched	benzodiazepine receptor agonist	CHRNA7|GABRB3|GLRA3|P2RX7	infectious disease	gastrointestinal roundworms|lungworms|cattle grubs|mites|lice|horn flies
ivosidenib	Launched	isocitrate dehydrogenase inhibitor	IDH1	hematologic malignancy	acute myeloid leukemia (AML)
IWP-L6	Preclinical	porcupine inhibitor	PORCN		
ixabepilone	Launched	microtubule stabilizing agent	TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8	oncology	breast cancer
ixazomib	Launched	proteasome inhibitor		hematologic malignancy	multiple myeloma
ixazomib-citrate	Launched	proteasome inhibitor		hematologic malignancy	multiple myeloma
JAK3-inhibitor-V	Preclinical	JAK inhibitor	JAK3		
JDTic	Phase 1	opioid receptor antagonist	OPRK1		
JHW-007	Preclinical	dopamine uptake inhibitor	SLC6A3		
JIB04	Preclinical	histone lysine demethylase inhibitor	KDM4E		
JK-184	Preclinical	hedgehog pathway inhibitor			
JLK-6	Preclinical	gamma secretase inhibitor	PSEN1		
JNJ-10191584	Preclinical	histamine receptor antagonist	HRH4		
JNJ-10397049	Preclinical	orexin receptor antagonist	HCRTR1|HCRTR2		
JNJ-16259685	Preclinical	glutamate receptor antagonist	GRM1		
JNJ-1661010	Preclinical	FAAH inhibitor	FAAH		
JNJ-17203212	Preclinical	TRPV antagonist	TRPV1		
JNJ-26481585	Phase 2	HDAC inhibitor	HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9|MDM2		
JNJ-26990990	Phase 2	anticonvulsant			
JNJ-27141491	Preclinical	CC chemokine receptor antagonist	CCR2		
JNJ-37822681	Phase 2	dopamine receptor antagonist	DRD2		
JNJ-38877605	Phase 1	tyrosine kinase inhibitor	MET		
JNJ-40411813	Phase 2	glutamate receptor positive allosteric modulator	GRM2		
JNJ-42041935	Preclinical	hypoxia inducible factor prolyl hydroxylase inhibitor	PDK2		
JNJ-42165279	Phase 2	FAAH inhibitor	FAAH		
JNJ-47965567	Preclinical	purinergic receptor antagonist	P2RX7		
JNJ-63533054	Preclinical	G protein-coupled receptor agonist	GPR139		
JNJ-7706621	Preclinical	CDK inhibitor	AURKA|AURKB|CDK1|CDK2		
JNJ-7777120	Preclinical	histamine receptor antagonist	HRH4		
josamycin	Launched	bacterial 50S ribosomal subunit inhibitor		pulmonary	bronchitis
JQ1-(+)	Preclinical	bromodomain inhibitor	BRD4|BRDT		
JTC-801	Phase 2	opioid receptor antagonist	OPRL1		
JTE-013	Preclinical	lysophospholipid receptor antagonist	P2RY10|S1PR2		
JTE-607	Phase 2	cytokine production inhibitor	IL10|IL1B|IL6|TNF		
JTE-907	Phase 1	cannabinoid receptor inverse agonist	CNR2		
JW-55	Preclinical	tankyrase inhibitor	TNKS|TNKS2		
JW-642	Preclinical	monoacylglycerol lipase inhibitor	MGLL		
JW-67	Preclinical	Wnt pathway inhibitor	APC|AXIN1|GSK3B		
JW-74	Preclinical	WNT signaling inhibitor|tankyrase inhibitor	TNKS|TNKS2		
JX-401	Preclinical	p38 MAPK inhibitor	MAPK14		
JZL-184	Preclinical	monoacylglucerol lipase inhibitor	MGLL		
JZL-195	Preclinical	FAAH inhibitor|monoacylglycerol lipase inhibitor	FAAH|MGLL		
K-MAP	Phase 2				
K-Ras(G12C)-inhibitor-12	Preclinical	K-ras inhibitor	KRAS		
K-Ras(G12C)-inhibitor-6	Preclinical	K-ras inhibitor			
k-strophanthidin	Phase 2	ATPase inhibitor	ATP1A1		
K-247	Phase 1				
K-858	Preclinical	kinesin-like spindle protein inhibitor	KIF11		
kaempferol	Preclinical	bone resorption inhibitor|estrogen-related receptor inverse agonist	AKR1B1|ALOX15B|ALOX5|AR|CYP1B1|GLO1|HSD17B1|UGT3A1		
kainic-acid	Preclinical	kainate receptor agonist	GRIA1|GRIK1|GRIK2|GRIK3|GRIK4|GRIK5		
kakonein	Phase 2	GABA receptor antagonist|serotonin receptor antagonist			
kanamycin	Launched	bacterial 30S ribosomal subunit inhibitor		infectious disease	gram-negative bacterial infections
kartogenin	Preclinical	chondrocyte differentiation stimulator	FLNA		
KB-R7943	Preclinical	sodium/calcium exchange inhibitor	SLC8A1|TRPC3|TRPC5|TRPC6		
KB-SRC-4	Preclinical	src inhibitor	SRC		
KBG	Phase 2	neprilysin inhibitor	MME		
KD-023	Phase 2	ACAT inhibitor	ACACA|ACACB		
KD025	Phase 2	rho associated kinase inhibitor	ROCK2		
kenpaullone	Preclinical	CDK inhibitor|glycogen synthase kinase inhibitor	CCNB1|CDK1|CDK5|GSK3B		
ketanserin	Launched	serotonin receptor antagonist	ADRA1A|ADRA1B|ADRA1D|DRD1|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A|HTR7|SLC18A1|SLC18A2	cardiology	hypertension
ketoconazole	Launched	sterol demethylase inhibitor	AR|CYP19A1|CYP21A2|KCNA10	dermatology	seborrheic dermatitis
ketoprofen	Launched	cyclooxygenase inhibitor	CXCR1|PTGS1|PTGS2|SLC5A8	rheumatology	rheumatoid arthritis|osteoarthritis
ketorolac	Launched	cyclooxygenase inhibitor	PTGS1|PTGS2		
ketotifen	Launched	histamine receptor agonist|leukotriene receptor antagonist|phosphodiesterase inhibitor	HRH1|PDE4A|PDE4B|PDE4C|PDE4D|PDE7A|PDE7B|PDE8A|PDE8B|PGD	neurology/psychiatry	itching
kevetrin	Phase 1	p53 activator			
KF-38789	Preclinical	P selectin inhibitor	SELP		
KG-5	Preclinical	RAF inhibitor	BRAF|FLT3|KIT|PDGFRB		
KH-CB19	Preclinical	CDC inhibitor	CLK1|CLK3|DYRK1A		
khellin	Phase 2	vasodilator			
KHK-IN-1	Preclinical	hexokinase inhibitor	KHK		
KHS-101	Preclinical	neural stem cell inducer	TACC3		
KI-16425	Preclinical	lysophosphatidic acid receptor antagonist	LPAR1|LPAR3		
KI-20227	Preclinical	c-Fms inhibitor	CSF1R|KDR|KIT|PDGFRB		
KI-8751	Preclinical	KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	KDR		
kifunensine	Phase 1	mannosidase inhibitor	MAN1B1|MAN2A1		
kinetin	Launched	cell division inducer		dermatology	sunburn
ki16198	Preclinical	lipoprotein antagonist	LPA		
KL-001	Preclinical	proteasome inhibitor	CRY1|CRY2		
KML29	Preclinical	monoacylglucerol lipase inhibitor	MGLL		
KN-62	Preclinical	calcium/calmodulin dependent protein kinase inhibitor|purinergic receptor antagonist	AKT1|CAMK2A|CHEK1|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|P2RX7|PRKCA|ROCK1|RPS6KB1|SGK1		
KN-93	Preclinical	calcium/calmodulin dependent protein kinase inhibitor	CAMK2A		
Ko143	Preclinical	BCRP inhibitor	ABCB1|ABCC1		
KP-1212	Phase 2				
KPT-185	Preclinical	exportin antagonist	XPO1		
KPT-276	Preclinical	exportin antagonist	XPO1		
KRCA-0008	Preclinical	ALK inihibitor	ALK		
KRN-633	Preclinical	VEGFR inhibitor	FLT1|FLT4|KDR		
KS-176	Preclinical	BCRP inhibitor	ABCG2		
KT-433	Phase 2	uricosuric agent			
ku-0063794	Preclinical	mTOR inhibitor	MTOR		
KU-55933	Preclinical	ATM kinase inhibitor	ATM|PRKDC		
KU-60019	Preclinical	ATM kinase inhibitor	ATM		
kuromanin	Preclinical	ribosyl cyclase inhibitor	CD38		
KU14R	Preclinical	imidazoline receptor antagonist			
KW-2449	Phase 1	Abl kinase inhibitor|Aurora kinase inhibitor|FLT3 inhibitor	ABL1|AURKA|AURKB|FLT3		
KW-2478	Phase 1/Phase 2	HSP inhibitor			
KW-3902	Phase 3	adenosine receptor antagonist	ADORA1|ADORA2A|ADORA2B|ADORA3		
KX2-391	Phase 2	src inhibitor|tubulin polymerization inhibitor	SRC		
kynurenic-acid	Preclinical	glutamate receptor antagonist	GPR35|GRIN1|GRIN2A|GRIN2B		
KY02111	Preclinical	Wnt pathway inhibitor	DKK1		
K02288	Preclinical	bone morphogenic protein inhibitor	BMP1		
K145	Preclinical	sphingosine kinase inhibitor	SPHK2		
L-(+)-Rhamnose-Monohydrate	Preclinical				
L-alanine	Launched				
L-Arginine	Launched	nitric oxide precursor	ARG2|ASL|ASS1|AZIN2|GPRC6A|NOS2|NOS3|SLC7A1|SLC7A3|SLC7A4	cardiology|neurology/psychiatry|urology|obstetrics/gynecology|otolaryngology	congestive heart failure|hypertension|coronary artery disease (CAD)|claudication|senile dementia|erectile dysfunction|infertility|common cold
L-Ascorbyl-6-palmitate	Preclinical				
L-asparagine	Phase 3		ASNS|ASRGL1|NARS|NARS2|SLC1A5|SLC38A3		
L-asparagine-n-hydroxy	Preclinical				
L-Aspartic-Acid	Launched	metallic radical formation stimulant	ACY1|ACY3|ADSS|ADSSL1|ASNS|ASPA|ASPH|ASRGL1|ASS1|CAD|DARS|DARS2|GOT1|GOT2|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|LYZ|PAICS|RNASE1|SLC1A1|SLC25A12|SLC25A13		
L-Citrulline	Launched	nitric oxide stimulant	ASS1|DDAH1|DDAH2|GPRC6A|NOS1|NOS2|NOS3|OTC|PADI1|PADI2|PADI3|PADI4|PADI6	cardiology|urology	hypertension|erectile dysfunction
L-cysteine	Launched		CARS|CARS2|CBS|CDO-1|CDO1|CSAD|CTH|GCLC|GCLM|GOT1|GSS|MGMT|NFS1|SLC19A3		
L-Cysteinesulfinic-acid	Preclinical	glutamate receptor agonist	GRM1|GRM5|GSR|HMGCS2|PAPOLA|PRDX2		
L-Cystine	Launched		CTNS|SLC3A1|SLC7A11|SLC7A9		
L-ergothioneine	Phase 2	free radical scavenger			
L-glutamic-acid	Launched	glutamate receptor agonist	AADAT|AASS|ABAT|ALDH18A1|ASNS|BCAT1|BCAT2|CCBL2|DNPEP|EARS2|ENPEP|EPRS|FOLH1|FPGS|FTCD|GAD1|GAD2|GATB|GCLC|GCLM|GGCX|GLS|GLS2|GLUD1|GLUD2|GLUL|GMPS|GOT1|GOT2|GPT|GPT2|GRIA1|GRIA2|GRIA3|GRIA4|GRID1|GRID2|GRIK1|GRIK2|GRIK3|GRIK4|GRIK5|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B|GRM1|GRM2|GRM3|GRM4|GRM6|GRM7|GRM8|LGSN|NADSYN1|NAGS|OPLAH|PFAS|PGCP|PSAT1|SLC1A1|SLC1A2|SLC1A3|SLC1A6|SLC1A7|SLC25A18|SLC25A22|SLC7A11|TAT		
L-Hydroxyproline	Launched				
L-leucine	Phase 3		BCAT1|BCAT2|LARS|LARS2|LCMT1|LCMT2		
L-lysine	Phase 2	serotonin receptor agonist	GPRC6A|KARS|SLC7A1|SLC7A2|SLC7A3|SLC7A4		
L-methionine	Launched	voltage-gated calcium channel ligand			
L-mimosine	Preclinical	dopamine beta hydroxylase inhibitor|eukaryotic translation initiation factor inhibitor	DBH|EIF5A		
L-monomethylarginine	Phase 3	nitric oxide synthase inhibitor	NOS1|NOS2		
L-NAME	Phase 2/Phase 3	nitric oxide synthase inhibitor	NOS3		
L-NIL	Preclinical	nitric oxide synthase inhibitor	NOS1|NOS2|NOS3		
L-proline	Launched	glutamate receptor agonist	EPRS|L3HYPDH|P3H1|P3H2|P3H3|P4HA1|P4HA2|PARS2|PPIA|PPIB|PPIC|PPIF|PPIG|PPIH|PRODH|PROSC|PYCR1|PYCR2|PYCRL|SLC6A14|SLC6A7		
L-Quisqualic-acid	Preclinical	glutamate receptor agonist	FOLH1|GRIA2|GRIK1|GRIK2|GRM1|GRM2|GRM3|GRM5|GRM7|GRM8		
L-Theanine	Launched	glutamate receptor antagonist			
L-threonine	Phase 2		TARS|TARS2|THNSL1		
L-152804	Preclinical	neuropeptide receptor antagonist	NPY5R		
L-161982	Preclinical	prostanoid receptor antagonist	PTGER4		
L-165041	Preclinical	PPAR receptor agonist	PPARD		
L-168049	Preclinical	glucagon receptor antagonist	GCGR		
L-365260	Phase 2	CCK receptor antagonist	CCKAR|CCKBR|KCNQ1		
L-368899	Phase 1	oxytocin receptor antagonist	AVPR1A|AVPR2|OXTR		
"L-655,708"	Preclinical	GABA receptor inverse agonist	GABRA1|GABRA2|GABRA3|GABRA5|GABRG2		
L-655240	Phase 1	thromboxane receptor antagonist	PTGES		
L-670596	Preclinical	prostanoid receptor antagonist			
L-689560	Preclinical	glutamate receptor antagonist	GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D		
L-690330	Preclinical	inositol monophosphatase inhibitor	IMPA1		
L-693403	Preclinical	sigma receptor agonist|sigma receptor antagonist	DRD2|SIGMAR1		
L-694247	Preclinical	serotonin receptor agonist	HTR1A|HTR1B|HTR1D		
L-701252	Preclinical	glutamate receptor antagonist	GRIN1		
L-701324	Preclinical	glutamate receptor antagonist	GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D		
"L-732,138"	Preclinical	tachykinin antagonist	TACR1|TACR2		
L-733060	Preclinical	tachykinin antagonist	TACR1		
L-741742	Preclinical	dopamine receptor antagonist	DRD3|DRD4|SCN1A|SCN3A		
L-745870	Preclinical	dopamine receptor antagonist	DRD1|DRD2|DRD3|DRD4|HTR1A|HTR2A|HTR6|HTR7		
L-755507	Preclinical	adrenergic receptor agonist	ADRB1|ADRB2|ADRB3		
L-760735	Preclinical	tachykinin antagonist	TACR1		
L-778123	Phase 1	farnesyltransferase inhibitor	FNTA|FNTB|PGGT1B		
"L-798,106"	Preclinical	prostanoid receptor antagonist	PTGER3		
L-838417	Preclinical	GABA receptor partial agonist	GABRA1|GABRA2|GABRA3|GABRA5		
labetalol	Launched	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRB1|ADRB2	cardiology	hypertension
lacidipine	Launched	calcium channel blocker	CACNA1C	cardiology	hypertension
lacitol	Launched	osmosis stimulant		gastroenterology	constipation
lacosamide	Launched	collapsin response mediator protein inhibitor|collapsin response mediator protein stimulant|sodium channel blocker	SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A	neurology/psychiatry	seizures
lactulose	Launched	laxative		gastroenterology	portal-systemic encephalopathy (PSE)
lafutidine	Launched	histamine receptor antagonist	HRH2	gastroenterology	duodenal ulcer disease|peptic ulcer disease (PUD)
