"","tsne.x","tsne.y","membership","pert_iname","clinical_phase","moa","target","disease_area","indication"
"GBA",-9.48180908313956,-20.5566014308441,10,NA,NA,NA,NA,NA,NA
"GBGT1",-13.3805046744509,-11.4601945389687,27,NA,NA,NA,NA,NA,NA
"GBP2",7.77341578896942,-13.3286487572362,26,NA,NA,NA,NA,NA,NA
"GBR-12783",-3.52084970387464,10.7389948386588,11,"GBR-12783","Preclinical","dopamine uptake inhibitor","","",""
"GBR-12935",9.28484293428144,3.71295969672784,14,"GBR-12935","Preclinical","dopamine uptake inhibitor","AGTR1|SLC6A3","",""
"GBR-13069",8.04494742924051,13.5082011873288,29,"GBR-13069","Preclinical","dopamine uptake inhibitor","SLC6A3","",""
"GCA",17.2549727856087,-17.2357510672078,9,NA,NA,NA,NA,NA,NA
"GCAT",6.03466638982417,-25.2166217733682,16,NA,NA,NA,NA,NA,NA
"GCDH",-16.087352692433,-14.8537405269062,27,NA,NA,NA,NA,NA,NA
"GCK",-0.960156496484362,-17.6830991142218,10,NA,NA,NA,NA,NA,NA
"GCLC",8.82794670833538,-29.4060775477632,17,NA,NA,NA,NA,NA,NA
"GCLM",-1.98265392889885,-20.8226450106601,10,NA,NA,NA,NA,NA,NA
"GDC-0879",13.1968918115798,0.506036689513857,13,"GDC-0879","Preclinical","RAF inhibitor","BRAF","",""
"GDC-0941",4.28063574014381,9.30702258035717,29,"GDC-0941","Phase 2","PI3K inhibitor","PIK3CA|PIK3CB|PIK3CD|PIK3CG","",""
"GDI1",14.9476334121217,-21.0302388433982,17,NA,NA,NA,NA,NA,NA
"GDNF",-23.3585406604454,17.1532321670122,3,NA,NA,NA,NA,NA,NA
"GDPD5",9.56859000446003,-21.4544889308227,17,NA,NA,NA,NA,NA,NA
"gefitinib",-1.50113182545308,7.56585836512308,11,"gefitinib","Launched","EGFR inhibitor","EGFR","oncology","non-small cell lung cancer (NSCLC)"
"geldanamycin",8.25140539796849,9.3186469989468,29,"geldanamycin","Preclinical","HSP inhibitor","HSP90AA1|HSP90AB1","",""
"gelsemine",18.217046469441,19.8422192666342,4,NA,NA,NA,NA,NA,NA
"gemcitabine",13.4658312480244,20.5012763876218,4,"gemcitabine","Launched","ribonucleotide reductase inhibitor","CMPK1|RRM1|RRM2|TYMS","oncology","ovarian cancer|breast cancer|non-small cell lung cancer (NSCLC)|pancreatic cancer"
"gemfibrozil",12.0943220910512,24.8449077781003,4,"gemfibrozil","Launched","lipoprotein lipase activator","LPL|PPARA|SLCO1B1|SLCO1B3|SLCO2B1","endocrinology|cardiology","hyperlipidemia|coronary heart disease"
"genistein",-21.3888432304772,12.191691272074,3,"genistein","Phase 2/Phase 3","tyrosine kinase inhibitor","CFTR|ESR1|ESR2|ESRRA|ESRRB|ESRRG|NCOA1|NCOA2|PPARG|PTK2B|TOP2A|TRPC5","",""
"geranylgeraniol",-11.5252555647953,11.838034855027,2,NA,NA,NA,NA,NA,NA
"GFOD1",17.0044572865081,-22.297375845331,17,NA,NA,NA,NA,NA,NA
"GFPT2",-22.5476206436628,-9.25325935815103,22,NA,NA,NA,NA,NA,NA
"GGA2",17.493799580103,-3.58412122290815,13,NA,NA,NA,NA,NA,NA
"GGCX",17.5140688217543,-1.48652389063116,13,NA,NA,NA,NA,NA,NA
"GGH",6.4549551376161,-24.9017273618387,16,NA,NA,NA,NA,NA,NA
"GGPS1",18.3187027900931,-12.8125762836625,9,NA,NA,NA,NA,NA,NA
"gibberellic-acid",22.0505959967658,12.7664146505962,7,NA,NA,NA,NA,NA,NA
"gingerol",-7.7159496189977,-12.4494209970811,28,NA,NA,NA,NA,NA,NA
"ginsenoside",19.4501035322681,16.2332277478198,7,NA,NA,NA,NA,NA,NA
"gitoxigenin",6.74881490418285,-6.41550724228026,19,NA,NA,NA,NA,NA,NA
"givinostat",10.7840349466549,7.66049478513672,25,"givinostat","Phase 2","HDAC inhibitor","HDAC1|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9","",""
"GJA1",-18.6440316743466,-9.3714832949219,27,NA,NA,NA,NA,NA,NA
"GK",-9.55500904656698,-24.7302986936446,20,NA,NA,NA,NA,NA,NA
"GLDC",-15.0092264408979,-14.4262869685949,27,NA,NA,NA,NA,NA,NA
"glibenclamide",-12.0555150111596,17.9334117224455,2,NA,NA,NA,NA,NA,NA
"glimepiride",14.9788818041817,23.8748219129092,4,"glimepiride","Launched","insulin secretagogue","ABCC8|KCNJ1|KCNJ11","endocrinology","diabetes mellitus"
"glipizide",20.3594211506733,13.5098848635474,7,"glipizide","Launched","sulfonylurea","ABCC8|KCNJ10|KCNJ11|PPARG","endocrinology","diabetes mellitus|hyperglycemia"
"gliquidone",20.9855647420527,20.874786106499,4,"gliquidone","Launched","sulfonylurea","ABCC8|KCNJ10|KCNJ8","endocrinology","diabetes mellitus"
"GLOD4",-19.9447049391017,-17.0987767914722,27,NA,NA,NA,NA,NA,NA
"GLRX",-11.3806167501573,-14.8968073787377,28,NA,NA,NA,NA,NA,NA
"GLUL",14.7853653540914,-18.145412349935,9,NA,NA,NA,NA,NA,NA
"glutamine",-17.8604217143878,11.3965373514764,3,NA,NA,NA,NA,NA,NA
"Gly-Gly-PALO",-10.6542151034787,-1.04451677940685,15,NA,NA,NA,NA,NA,NA
"glycocholic-acid",19.4217419307295,24.5890954762695,4,NA,NA,NA,NA,NA,NA
"glycodeoxycholic-acid",-10.6351429148493,11.6649658849922,2,NA,NA,NA,NA,NA,NA
"GM2A",-18.4615146455467,-16.5644210889929,27,NA,NA,NA,NA,NA,NA
"GMDS",17.9555018103638,-16.2388682918819,9,NA,NA,NA,NA,NA,NA
"GMEB1",-3.15435058763847,-25.7146924262317,8,NA,NA,NA,NA,NA,NA
"GMNN",-3.22834330692766,-29.6191941988883,8,NA,NA,NA,NA,NA,NA
"GMPR2",-10.7642523766403,-10.827246066923,28,NA,NA,NA,NA,NA,NA
"GMX-1778",6.63100707487657,24.9455788813394,12,NA,NA,NA,NA,NA,NA
"GNA11",-1.30876329009842,-20.6251505359955,10,NA,NA,NA,NA,NA,NA
"GNA13",-13.3538088439518,-24.7922990646845,20,NA,NA,NA,NA,NA,NA
"GNA15",-0.511886544570737,-20.2599116355136,10,NA,NA,NA,NA,NA,NA
"GNAI1",-11.7001745535409,-14.5982506066922,28,NA,NA,NA,NA,NA,NA
"GNAI2",-22.5467310329513,-15.2185450759368,27,NA,NA,NA,NA,NA,NA
"GNAI3",10.0239303397687,-14.5070389185638,26,NA,NA,NA,NA,NA,NA
"GNAS",-15.6308402640289,-21.8040415109883,20,NA,NA,NA,NA,NA,NA
"GNAZ",7.4280903216016,-19.8509767604906,16,NA,NA,NA,NA,NA,NA
"GNB1",18.3857667601896,-19.1207211034072,9,NA,NA,NA,NA,NA,NA
"GNB1L",-3.85250197837259,-18.4022802695508,10,NA,NA,NA,NA,NA,NA
"GNB2",-10.2896726286127,-24.6227320334169,20,NA,NA,NA,NA,NA,NA
"GNB5",-16.2470440114034,-17.9434569582366,27,NA,NA,NA,NA,NA,NA
"GNG4",15.478363776894,-9.2598685687818,6,NA,NA,NA,NA,NA,NA
"GNG5",-2.80510851158371,-17.936589848387,10,NA,NA,NA,NA,NA,NA
"GNG8",15.7243868175014,-16.3037989296022,9,NA,NA,NA,NA,NA,NA
"GNGT2",-21.492166399302,-9.14592930642464,22,NA,NA,NA,NA,NA,NA
"GNPDA1",-15.6931224729664,-20.3214611582262,20,NA,NA,NA,NA,NA,NA
"Gossypetin",-25.3894954888817,15.0429229131982,21,NA,NA,NA,NA,NA,NA
"gossypin",-25.4231695667642,14.7090921715675,21,NA,NA,NA,NA,NA,NA
"gossypol",0.0448000491781929,1.15227169483905,11,"gossypol","Phase 2","BCL inhibitor|MCL1 inhibitor","BCL2","",""
"GOT2",-11.6545713629795,-22.4011585874607,20,NA,NA,NA,NA,NA,NA
"GPBAR1",-10.5352016800984,-13.4156385701904,28,NA,NA,NA,NA,NA,NA
"GPC1",-15.5604408473365,-13.5216130852722,27,NA,NA,NA,NA,NA,NA
"GPER",-3.66644373822389,-20.7547939352267,10,NA,NA,NA,NA,NA,NA
"GPR101",8.79310525218791,-12.6131772518401,26,NA,NA,NA,NA,NA,NA
"GPR107",15.1148855411236,-7.53573448267813,6,NA,NA,NA,NA,NA,NA
"GPR114",14.1777124179239,-11.2036556526198,6,NA,NA,NA,NA,NA,NA
"GPR119",17.9441415240878,-18.107782846964,9,NA,NA,NA,NA,NA,NA
"GPR128",-4.37223563582614,-18.9841082636288,10,NA,NA,NA,NA,NA,NA
"GPR139",-12.6219060863222,-23.984829631201,20,NA,NA,NA,NA,NA,NA
"GPR141",15.283940544834,-13.3174527587636,9,NA,NA,NA,NA,NA,NA
"GPR146",-0.574993789033259,-22.5358457566988,10,NA,NA,NA,NA,NA,NA
"GPR148",11.1329400473621,-23.4192505465346,17,NA,NA,NA,NA,NA,NA
"GPR152",12.8044539109565,-13.865865292226,26,NA,NA,NA,NA,NA,NA
"GPR156",10.9481163403618,-26.5289609934019,17,NA,NA,NA,NA,NA,NA
"GPR160",-12.9526759078391,-16.5540193917102,28,NA,NA,NA,NA,NA,NA
"GPR161",7.97460200565335,34.480451242641,12,NA,NA,NA,NA,NA,NA
"GPR172A",7.50207500046661,-15.2441037273722,26,NA,NA,NA,NA,NA,NA
"GPR26",-1.97746564025682,-19.3011565723558,10,NA,NA,NA,NA,NA,NA
"GPR34",-5.0628794634299,-21.9439702448803,10,NA,NA,NA,NA,NA,NA
"GPR35",12.7208143432673,-7.66460961264993,6,NA,NA,NA,NA,NA,NA
"GPR37",8.82339637090977,-28.2188447812522,17,NA,NA,NA,NA,NA,NA
"GPR39",9.73988365714869,-25.1350798434379,17,NA,NA,NA,NA,NA,NA
"GPR4",9.18502332734922,-24.2180345942529,17,NA,NA,NA,NA,NA,NA
"GPR55",-3.83122684422714,-20.2506965820055,10,NA,NA,NA,NA,NA,NA
"GPR65",16.2464756587503,-9.81625753807579,6,NA,NA,NA,NA,NA,NA
"GPR83",-21.441508410745,-7.77620732549124,22,NA,NA,NA,NA,NA,NA
"GPR84",-7.59305811292575,-20.1023952706091,10,NA,NA,NA,NA,NA,NA
"GPR87",5.23044464602125,-24.6616086992478,16,NA,NA,NA,NA,NA,NA
"GPRC5B",15.0450630080773,-24.4306340360369,17,NA,NA,NA,NA,NA,NA
"GPX7",-9.93359169743502,-12.7389870526723,28,NA,NA,NA,NA,NA,NA
"GR-103691",6.52676404073416,16.7938068625225,24,"GR-103691","Preclinical","dopamine receptor antagonist","DRD3","",""
"GR-113808",13.4062400265147,21.9802667764705,4,"GR-113808","Preclinical","serotonin receptor antagonist","HTR4","",""
"GR-127935",7.61004502306573,4.67249330602663,14,"GR-127935","Preclinical","serotonin receptor antagonist","HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR6","",""
"GR-135531",10.5685177138236,15.8128613428191,7,"GR-135531","Preclinical","melatonin receptor agonist","","",""
"GR-144053",20.4744774327245,10.7735565167096,7,"GR-144053","Preclinical","integrin antagonist","ITGA2B|ITGB3","",""
"GR-159897",10.6251974623337,27.340512543693,4,"GR-159897","Preclinical","tachykinin antagonist","TAC1|TACR2","",""
"GR-206",15.4708002611481,19.3851259678542,4,NA,NA,NA,NA,NA,NA
"GR-235",10.8814664085316,2.43794968815159,13,"GR-235","Launched","estrogen receptor agonist|FXR antagonist|progesterone receptor agonist","NR1H4","",""
"GR-32191",16.7718715591738,20.3141604272989,4,NA,NA,NA,NA,NA,NA
"GR-46611",18.9150308006462,14.3933123041818,7,NA,NA,NA,NA,NA,NA
"GR-55562",5.78054704557406,17.225578770663,24,NA,NA,NA,NA,NA,NA
"GR-79236",21.2566604688907,14.5195528130098,7,"GR-79236","Phase 1","adenosine receptor agonist","ADORA1|ADORA2A","",""
"GR-89696",5.75908625020681,18.7279190011237,24,NA,NA,NA,NA,NA,NA
"graveoline",6.07565125147088,26.6962341886138,12,NA,NA,NA,NA,NA,NA
"GRB2",9.55589941588724,-16.3678266859496,26,NA,NA,NA,NA,NA,NA
"GRB7",15.0879826744341,-26.2593354010527,17,NA,NA,NA,NA,NA,NA
"GRHL3",6.10571262331033,-22.4541809368935,16,NA,NA,NA,NA,NA,NA
"GRK6",-14.8143122728734,-11.3177724847315,27,NA,NA,NA,NA,NA,NA
"GRN",11.2622833673526,-23.4113914068174,17,NA,NA,NA,NA,NA,NA
"GRPR",-10.2373415978078,-25.6645833534892,20,NA,NA,NA,NA,NA,NA
"GS-39783",-22.2155446531444,13.3049221038919,3,"GS-39783","Preclinical","GABA receptor modulator","GABBR1","",""
"GSK-0660",14.3934438807988,19.6340666621593,7,"GSK-0660","Preclinical","PPAR receptor antagonist","PPARD","",""
"GSK-1059615",4.21750569753092,8.94096011038027,29,NA,NA,NA,NA,NA,NA
"GSK-1070916",-1.62927739550757,5.69713938789416,11,NA,NA,NA,NA,NA,NA
"GSK-1904529A",-1.72035721081268,7.32154120984481,11,NA,NA,NA,NA,NA,NA
"GSK-2126458",-0.170714082270295,6.98697382521487,11,NA,NA,NA,NA,NA,NA
"GSK-2334470",22.1513835913218,12.3964202462997,7,NA,NA,NA,NA,NA,NA
"GSK-3-inhibitor-II",-23.7133728979146,10.010466573361,21,NA,NA,NA,NA,NA,NA
"GSK-3-inhibitor-IX",-1.36428161529398,-10.0816133675379,18,"GSK-3-inhibitor-IX","Preclinical","glycogen synthase kinase inhibitor|lipoxygenase inhibitor","GSK3A|GSK3B","",""
"GSK-429286A",2.41150596504208,24.6439772457855,1,NA,NA,NA,NA,NA,NA
"GSK-461364",-2.02886661080345,11.0260421406089,11,NA,NA,NA,NA,NA,NA
"GSK-690693",3.24384952480124,12.1959038656975,29,NA,NA,NA,NA,NA,NA
"GSK3B",19.5435927590101,-14.8261320359849,9,NA,NA,NA,NA,NA,NA
"GSTM1",-2.86187068394581,-23.3208783530804,10,NA,NA,NA,NA,NA,NA
"GSTM2",-12.7540819104389,-18.8686841310916,28,NA,NA,NA,NA,NA,NA
"GSTP1",16.387978784132,-10.0669085592809,6,NA,NA,NA,NA,NA,NA
"GSTT1",19.3811972138161,-9.01360462652999,6,NA,NA,NA,NA,NA,NA
"GSTZ1",-5.0808081576751,-27.7533974189138,8,NA,NA,NA,NA,NA,NA
"GTF2A1",-5.1337903037116,-24.9852602223001,8,NA,NA,NA,NA,NA,NA
"GTF2A2",-18.0899656745402,-21.749622386966,20,NA,NA,NA,NA,NA,NA
"GTF2B",5.79533473573369,34.3901431060159,1,NA,NA,NA,NA,NA,NA
"GTF2E2",4.96520854134892,-24.5146892302896,16,NA,NA,NA,NA,NA,NA
"GTF2F2",12.7293131461056,-21.1448529878427,17,NA,NA,NA,NA,NA,NA
"GTF2H3",9.23669764930153,-26.4675909057306,17,NA,NA,NA,NA,NA,NA
"GTP-14564",5.55861300026442,18.004978588546,24,"GTP-14564","Preclinical","FLT3 inhibitor|tyrosine kinase inhibitor","CSF1R|FLT3|KIT|PDGFRB","",""
"GTPBP8",-15.3667681590399,-22.0765982238106,20,NA,NA,NA,NA,NA,NA
"guaifenesin",1.02518962712876,24.2879685008288,1,"guaifenesin","Launched","expectorant","","pulmonary","cough suppressant"
"guanabenz",6.61300853228159,21.7262434133387,24,NA,NA,NA,NA,NA,NA
"guanfacine",-0.626719162158515,26.370983436398,1,"guanfacine","Launched","adrenergic receptor agonist","ADRA2A|ADRA2B|ADRA2C","cardiology","hypertension"
"guggulsterone",-13.8778681564707,19.6027350128687,23,NA,NA,NA,NA,NA,NA
"GUK1",10.0593714676111,-27.3224414533432,17,NA,NA,NA,NA,NA,NA
"GUSB",-13.1750860570862,-15.0707487066658,28,NA,NA,NA,NA,NA,NA
"GW-0742",-12.4365567391042,16.7219731267603,2,"GW-0742","Preclinical","PPAR receptor agonist","PPARD","",""
"GW-1929",8.79447424149442,31.7546540586635,12,"GW-1929","Preclinical","PPAR receptor agonist","PPARG","",""
"GW-311616",-3.08939654598541,17.118420669013,24,"GW-311616","Phase 1","leukocyte elastase inhibitor|elastase inhibitor","ELANE","",""
"GW-3965",6.51296886755163,22.030838637791,24,"GW-3965","Preclinical","LXR agonist","NR1H2|NR1H3","",""
"GW-405833",5.14060801846183,1.10490642826352,14,"GW-405833","Preclinical","cannabinoid receptor agonist","CNR2","",""
"GW-4064",13.9502630327424,13.8203973074399,7,"GW-4064","Preclinical","FXR agonist","NR1H4","",""
"GW-441756",12.663461795834,15.6492767852023,7,"GW-441756","Preclinical","growth factor receptor inhibitor","NTRK1","",""
"GW-501516",15.1066242147003,2.37173038656343,13,"GW-501516","Phase 2","PPAR receptor agonist","PPARA|PPARD","",""
"GW-5074",-2.0856342592652,29.4495858754257,1,"GW-5074","Preclinical","RAF inhibitor|leucine rich repeat kinase inhibitor","NTRK1|RAF1","",""
"GW-583340",12.6185916494884,16.1318166736661,7,"GW-583340","Preclinical","EGFR inhibitor","EGFR|ERBB2","",""
"GW-6471",4.83990629258468,14.0548961575094,24,"GW-6471","Preclinical","PPAR receptor antagonist","PPARA","",""
"GW-7647",1.49121864108554,21.8946772210949,1,"GW-7647","Preclinical","PPAR receptor agonist","PPARA","",""
"GW-843682X",10.5746854214837,-5.22366602462901,13,"GW-843682X","Preclinical","PLK inhibitor","PLK1|PLK3","",""
"GW-9508",-16.5795281922533,7.08325259664619,15,"GW-9508","Preclinical","free fatty acid receptor agonist|G protein-coupled receptor agonist","FFAR1|FFAR4","",""
"GW-9662",-2.04005253937495,19.2213692922828,1,"GW-9662","Preclinical","PPAR receptor antagonist","NCOA2|PPARG|RXRA","",""
"GYKI-52466",-12.397186669468,1.45245551461477,15,"GYKI-52466","Preclinical","glutamate receptor antagonist","GRIA1|GRIA2|GRIA3|GRIA4","",""
"H-7",16.7422650614809,5.47692136770508,5,NA,NA,NA,NA,NA,NA
"H-8",21.2788611733422,14.8971011388716,7,NA,NA,NA,NA,NA,NA
"H-89",5.89196008133667,11.3650056768357,29,"H-89","Preclinical","PKA inhibitor","GSG2|PKIA|PRKACA","",""
"H-9",16.0031721312241,-8.65451646580089,6,NA,NA,NA,NA,NA,NA
"HA-1004",11.8515851921359,24.2816234255496,4,"HA-1004","Phase 2","calcium channel blocker","","",""
"HA-14-1",-7.1931739933497,-0.603246849134252,11,"HA-14-1","Preclinical","BCL inhibitor","BCL2","",""
"HADHA",-8.50044020581074,-18.9185110095972,10,NA,NA,NA,NA,NA,NA
"HADHB",-19.2497419164924,-13.4329634676868,27,NA,NA,NA,NA,NA,NA
"HAGH",-22.2789208816719,-12.3949974367675,22,NA,NA,NA,NA,NA,NA
"HAL",18.371775304518,-16.4953642701477,9,NA,NA,NA,NA,NA,NA
"halcinonide",15.6163894906053,20.8646210128095,4,"halcinonide","Launched","glucocorticoid receptor agonist","NR3C1","dermatology","corticosteroid-responsive dermatoses"
"haloperidol",8.68647704004737,11.226862571034,29,"haloperidol","Launched","dopamine receptor antagonist","DRD1|DRD2|DRD3|DRD4|DRD5|GRIN2B|HRH1|HTR1A|HTR1D|HTR2A|HTR2B|HTR7|KCNH1","neurology/psychiatry","schizophrenia|Tourette's disorder"
"harpagoside",3.84651784642324,33.3674787040246,1,NA,NA,NA,NA,NA,NA
"HAT1",-2.71798070406756,-30.9271982189855,8,NA,NA,NA,NA,NA,NA
"HAVCR1",13.488017663846,-25.7501599713133,17,NA,NA,NA,NA,NA,NA
"HAX1",-13.037496377103,-22.3937298714053,20,NA,NA,NA,NA,NA,NA
"HBE1",-6.47561254606022,-28.5441331368369,8,NA,NA,NA,NA,NA,NA
"HBEGF",-23.7344162003202,16.6989076748596,3,NA,NA,NA,NA,NA,NA
"HC-toxin",10.7806024098532,7.75209483664228,25,NA,NA,NA,NA,NA,NA
"HCAR1",5.71228763380651,-19.2705722721023,16,NA,NA,NA,NA,NA,NA
"HDAC1",15.3085677230694,-11.4010568583322,6,NA,NA,NA,NA,NA,NA
"HDAC1-selective",-20.9230998190951,13.3712687360949,3,NA,NA,NA,NA,NA,NA
"HDAC10",-4.55188940027625,-19.538328203478,10,NA,NA,NA,NA,NA,NA
"HDAC11",-11.6575210731773,-24.5546886044145,20,NA,NA,NA,NA,NA,NA
"HDAC2",2.47611939321119,-22.7375261941863,16,NA,NA,NA,NA,NA,NA
"HDAC3",-1.97886712105382,-23.5977568859588,10,NA,NA,NA,NA,NA,NA
"HDAC3-selective",-19.463262133535,4.67641565889405,15,NA,NA,NA,NA,NA,NA
"HDAC4",-2.70087603496627,-21.7183857386453,10,NA,NA,NA,NA,NA,NA
"HDAC6",11.9814619654655,-15.3915368968691,26,NA,NA,NA,NA,NA,NA
"HDAC8",-24.295494580537,-8.43265754752823,22,NA,NA,NA,NA,NA,NA
"HDGFRP3",-1.93763712126414,-24.3671558953143,8,NA,NA,NA,NA,NA,NA
"HEAT",11.8844820343516,14.7414885068568,7,NA,NA,NA,NA,NA,NA
"heliotrine",13.7783854295542,22.8231965815717,4,NA,NA,NA,NA,NA,NA
"helveticoside",6.01222023317725,-7.22088822658185,19,NA,NA,NA,NA,NA,NA
"hemado",7.98323192150595,27.3072304270595,12,NA,NA,NA,NA,NA,NA
"heraclenol",-9.53612677020325,6.77921882110077,11,NA,NA,NA,NA,NA,NA
"herniarin",18.0224216295933,21.3507129096344,4,NA,NA,NA,NA,NA,NA
"HERPUD1",-2.36586027603467,-27.6528468483453,8,NA,NA,NA,NA,NA,NA
"hesperidin",-0.0481952503678583,21.573299508411,1,"hesperidin","Launched","flavanone glycoside","CACNA1B","",""
"hexamethyleneamiloride",11.2974964542108,20.9571350045641,4,NA,NA,NA,NA,NA,NA
"HEXIM1",15.926791362345,-13.7343041863256,9,NA,NA,NA,NA,NA,NA
"hexylcaine",18.9763734303889,19.3962065728076,4,"hexylcaine","Launched","sodium channel blocker","SCN10A|SCN5A","neurology/psychiatry","local anesthetic"
"hexylresorcinol",14.0777281218197,20.4502082792348,4,"hexylresorcinol","Launched","local anesthetic","TYR","infectious disease","skin infections|first-aid antiseptic"
"HEY1",1.07458674463399,-30.2168381460298,16,NA,NA,NA,NA,NA,NA
"HG-5-113-01",5.88888147174593,7.18763231596667,29,NA,NA,NA,NA,NA,NA
"HG-5-88-01",3.04056886247916,11.3109134601286,29,NA,NA,NA,NA,NA,NA
"HG-6-64-01",-1.24625761771224,5.9198065758287,11,NA,NA,NA,NA,NA,NA
"HGF",-7.98273193456541,-1.70712126170026,11,NA,NA,NA,NA,NA,NA
"HIF1A",7.37067037982818,-24.9942328710333,16,NA,NA,NA,NA,NA,NA
"HIF1AN",10.2117785982062,-26.9273782773169,17,NA,NA,NA,NA,NA,NA
"hinokitiol",12.2362047665038,-1.069819701089,13,NA,NA,NA,NA,NA,NA
"HINT1",-16.6347770975765,-17.5260781327048,27,NA,NA,NA,NA,NA,NA
"hippeastrine",21.2438278955926,15.3614630602423,7,NA,NA,NA,NA,NA,NA
"hispidin",14.3397381429258,17.7359929098352,7,NA,NA,NA,NA,NA,NA
"HIST1H2AC",-6.96279203414952,-18.421924298181,10,NA,NA,NA,NA,NA,NA
"HIST1H2BD",19.9589307511638,-14.7896320656219,9,NA,NA,NA,NA,NA,NA
"HIST1H2BK",12.0561189613283,-15.2778384045381,26,NA,NA,NA,NA,NA,NA
"HIST2H2BE",-19.4674898009419,-18.1408692915608,27,NA,NA,NA,NA,NA,NA
"HK1",-15.9201873266173,-21.2757947671516,20,NA,NA,NA,NA,NA,NA
"HLA-A",-13.8938139622461,-11.7663403045096,27,NA,NA,NA,NA,NA,NA
"HLA-DMB",15.4934093473178,-14.1049967078331,9,NA,NA,NA,NA,NA,NA
"HLA-DPB1",10.746982751068,-27.9548458808379,17,NA,NA,NA,NA,NA,NA
"HLA-DRA",5.19757357050346,-25.9758243134361,16,NA,NA,NA,NA,NA,NA
"HLA-DRB1",-5.38486657210444,-20.7675402655299,10,NA,NA,NA,NA,NA,NA
"HLA-DRB3",9.00200335593502,-20.256662762189,17,NA,NA,NA,NA,NA,NA
"HLA-DRB4",10.5405079635148,-25.4759486009862,17,NA,NA,NA,NA,NA,NA
"HLA-DRB5",-6.89150429438149,-21.0518459408483,10,NA,NA,NA,NA,NA,NA
"HLF",-7.94439418611541,-13.6071466206953,28,NA,NA,NA,NA,NA,NA
"HLI-373",17.7813712252726,9.45870533766648,5,NA,NA,NA,NA,NA,NA
"HMG20B",-14.6078904396327,-22.8351255425137,20,NA,NA,NA,NA,NA,NA
"HMGA1",-16.8699621172851,-22.9727536496335,20,NA,NA,NA,NA,NA,NA
"HMGB1",18.2366754424647,-16.24299194373,9,NA,NA,NA,NA,NA,NA
"HMGB2",-10.8742084314026,-25.7939258768183,20,NA,NA,NA,NA,NA,NA
"HMGB3",16.3263225946146,-14.4590606912882,9,NA,NA,NA,NA,NA,NA
"HMGB4",-1.576855725236,-19.604189839194,10,NA,NA,NA,NA,NA,NA
"HMGCL",4.8569326247691,-23.0265183100952,16,NA,NA,NA,NA,NA,NA
"HMGCR",6.61152708633261,-15.4399898010231,26,NA,NA,NA,NA,NA,NA
"HMGCS2",7.18490409907586,-26.8207136076652,16,NA,NA,NA,NA,NA,NA
"HMGN3",-4.95091031211515,-14.6006135800059,28,NA,NA,NA,NA,NA,NA
"HMGN4",9.87388770394891,-12.9479555246091,26,NA,NA,NA,NA,NA,NA
"HMGN5",-11.8613964924493,-26.7456944686419,20,NA,NA,NA,NA,NA,NA
"HMMR",-1.54006337690362,-17.5737059338495,10,NA,NA,NA,NA,NA,NA
"HMOX1",11.5759415000912,-25.4827347357304,17,NA,NA,NA,NA,NA,NA
"HMOX2",8.76119756901667,-15.100429523034,26,NA,NA,NA,NA,NA,NA
"HN1L",-4.49873723775238,-25.9752491686847,8,NA,NA,NA,NA,NA,NA
"HNF4A",10.8392354207684,-25.1245728247618,17,NA,NA,NA,NA,NA,NA
"HNHA",14.8834599040084,3.08091945933121,13,NA,NA,NA,NA,NA,NA
"HNMT",-13.6725398773085,-26.8789567713216,20,NA,NA,NA,NA,NA,NA
"HO-013",8.8003421236242,30.7165431825785,12,NA,NA,NA,NA,NA,NA
"homatropine",15.9254162464181,20.2975941260202,4,"homatropine","Launched","acetylcholine receptor antagonist","CES1|CHRM1","ophthalmology","pupil dilation"
"HOMER2",-13.1164646691876,-23.5293877426993,20,NA,NA,NA,NA,NA,NA
"homochlorcyclizine",-6.52058892089187,3.11641156276802,11,"homochlorcyclizine","Launched","antihistamine","HRH1","allergy","allergic rhinitis"
"homoharringtonine",5.54395032578614,-7.70496191857343,19,"homoharringtonine","Launched","protein synthesis inhibitor","RPL3","hematologic malignancy","chronic myeloid leukemia (CML)"
"homosalate",6.01918122782767,19.2519599464876,24,"homosalate","Preclinical","HSP inducer","","",""
"HOOK2",5.80358051151705,-14.3112295832292,26,NA,NA,NA,NA,NA,NA
"HOPX",-13.3389555497431,-14.9048941740874,28,NA,NA,NA,NA,NA,NA
"HORMAD2",-6.09642126676623,-24.0331334947103,10,NA,NA,NA,NA,NA,NA
"HOXA1",8.24600684582292,-20.5361736234687,16,NA,NA,NA,NA,NA,NA
"HOXA10",-4.55488808132959,-26.9720821847256,8,NA,NA,NA,NA,NA,NA
"HOXA2",8.87975278833737,-19.3687915879301,17,NA,NA,NA,NA,NA,NA
"HOXA5",-3.45890214306356,-27.0156842068752,8,NA,NA,NA,NA,NA,NA
"HOXA6",9.50864082525536,-23.423506945461,17,NA,NA,NA,NA,NA,NA
"HOXA9",13.3986148705609,-23.2780042989242,17,NA,NA,NA,NA,NA,NA
"HOXB13",18.1260987260329,-16.8255530590987,9,NA,NA,NA,NA,NA,NA
"HOXB5",16.9605209005764,-18.5302703916399,9,NA,NA,NA,NA,NA,NA
